指标:

Test accuracy for ΔTSV-1（温度）:
Bagging-nest500-r9686535:  {'MSE': '0.0507', 'RMSE': '0.2251', 'MAE': '0.1466', 'R2': '0.9230', 'train_r2': '0.9834'}
Bagging-nest500-r9524630:  {'MSE': '0.0522', 'RMSE': '0.2286', 'MAE': '0.1519', 'R2': '0.9206', 'train_r2': '0.9834'}
Bagging-nest500-r1077328:  {'MSE': '0.0503', 'RMSE': '0.2244', 'MAE': '0.1498', 'R2': '0.9235', 'train_r2': '0.9839'}
Bagging-nest500-r9645124:  {'MSE': '0.0501', 'RMSE': '0.2238', 'MAE': '0.1468', 'R2': '0.9238', 'train_r2': '0.9845'}
Bagging-nest500-r84550:  {'MSE': '0.0507', 'RMSE': '0.2252', 'MAE': '0.1494', 'R2': '0.9229', 'train_r2': '0.9830'}
Bagging-nest500-r1235389:  {'MSE': '0.0503', 'RMSE': '0.2243', 'MAE': '0.1473', 'R2': '0.9236', 'train_r2': '0.9833'}
Bagging-nest500-r2648514:  {'MSE': '0.0519', 'RMSE': '0.2277', 'MAE': '0.1488', 'R2': '0.9212', 'train_r2': '0.9838'}
Bagging-nest500-r3392374:  {'MSE': '0.0532', 'RMSE': '0.2306', 'MAE': '0.1507', 'R2': '0.9192', 'train_r2': '0.9828'}
Bagging-nest500-r5088845:  {'MSE': '0.0502', 'RMSE': '0.2240', 'MAE': '0.1485', 'R2': '0.9237', 'train_r2': '0.9836'}
Bagging-nest500-r2823619:  {'MSE': '0.0533', 'RMSE': '0.2308', 'MAE': '0.1519', 'R2': '0.9190', 'train_r2': '0.9837'}
Bagging-nest500-r1573406:  {'MSE': '0.0500', 'RMSE': '0.2235', 'MAE': '0.1480', 'R2': '0.9241', 'train_r2': '0.9834'}
Bagging-nest500-r2002080:  {'MSE': '0.0531', 'RMSE': '0.2304', 'MAE': '0.1497', 'R2': '0.9193', 'train_r2': '0.9838'}

Test accuracy for ΔTSV-2:
Bagging-nest20-r5478893:  {'MSE': '0.0023', 'RMSE': '0.0480', 'MAE': '0.0211', 'R2': '0.9965', 'train_r2': '0.9995'}
Bagging-nest20-r8895072:  {'MSE': '0.0013', 'RMSE': '0.0359', 'MAE': '0.0148', 'R2': '0.9980', 'train_r2': '0.9993'}
Bagging-nest20-r1092094:  {'MSE': '0.0050', 'RMSE': '0.0710', 'MAE': '0.0352', 'R2': '0.9923', 'train_r2': '0.9983'}
Bagging-nest20-r2026949:  {'MSE': '0.0038', 'RMSE': '0.0616', 'MAE': '0.0289', 'R2': '0.9942', 'train_r2': '0.9987'}
Bagging-nest20-r5733607:  {'MSE': '0.0043', 'RMSE': '0.0656', 'MAE': '0.0312', 'R2': '0.9935', 'train_r2': '0.9991'}
Bagging-nest20-r5845559:  {'MSE': '0.0037', 'RMSE': '0.0609', 'MAE': '0.0352', 'R2': '0.9944', 'train_r2': '0.9991'}
Bagging-nest20-r3614799:  {'MSE': '0.0030', 'RMSE': '0.0545', 'MAE': '0.0250', 'R2': '0.9955', 'train_r2': '0.9989'}
Bagging-nest20-r5247354:  {'MSE': '0.0027', 'RMSE': '0.0523', 'MAE': '0.0312', 'R2': '0.9958', 'train_r2': '0.9987'}
Bagging-nest20-r2693450:  {'MSE': '0.0016', 'RMSE': '0.0405', 'MAE': '0.0250', 'R2': '0.9975', 'train_r2': '0.9992'}
Bagging-nest20-r2102048:  {'MSE': '0.0032', 'RMSE': '0.0569', 'MAE': '0.0289', 'R2': '0.9951', 'train_r2': '0.9987'}
Bagging-nest20-r8160326:  {'MSE': '0.0066', 'RMSE': '0.0815', 'MAE': '0.0391', 'R2': '0.9899', 'train_r2': '0.9976'}
Bagging-nest20-r8934989:  {'MSE': '0.0055', 'RMSE': '0.0742', 'MAE': '0.0305', 'R2': '0.9916', 'train_r2': '0.9983'}
Bagging-nest20-r5747026:  {'MSE': '0.0013', 'RMSE': '0.0359', 'MAE': '0.0195', 'R2': '0.9980', 'train_r2': '0.9990'}
Bagging-nest20-r9304798:  {'MSE': '0.0036', 'RMSE': '0.0596', 'MAE': '0.0305', 'R2': '0.9946', 'train_r2': '0.9989'}
